"ID","ShirtName","DOB","POS","Club","Height","Caps","Goals"
355,"Seungwoo S W LEE","06.01.1998","MF","Verona (ITA)",170,4,0
356,"Hee Chan H C HWANG","26.01.1996","FW","Red Bull Salzburg (AUT)",177,14,2
357,"Minwoo M W KIM","25.02.1990","DF","Sangmu (KOR)",172,20,1
358,"Jacheol J C KOO","27.02.1989","MF","FC Augsburg (GER)",182,68,19
359,"Chul C HONG","17.09.1990","DF","Sangmu (KOR)",176,14,0
360,"Wooyoung W Y JUNG","14.12.1989","MF","Vissel Kobe (JPN)",186,29,1
361,"Sungyueng S Y KI","24.01.1989","MF","Swansea City (WAL)",186,102,10
362,"Jaesung J S LEE","10.08.1992","MF","Jeonbuk Motors (KOR)",180,35,6
363,"Seon Min S M MOON","09.06.1992","MF","Incheon United (KOR)",172,3,1
364,"Younggwon Y G KIM","27.02.1990","DF","Guangzhou Evergrande Taobao FC(CHN)",184,53,2
365,"Hyunsoo H S JANG","28.09.1991","DF","FC Tokyo (JPN)",187,51,3
366,"Jinhyeon J H KIM","06.07.1987","GK","Cerezo Osaka (JPN)",193,15,0
367,"Yohan Y H GO","10.03.1988","DF","FC Seoul (KOR)",170,19,0
368,"Hyeonwoo H W JO","25.09.1991","GK","Daegu FC (KOR)",189,6,0
369,"J. CORONA","26.01.1981","GK","Cruz Azul (MEX)",182,54,0
370,"H. AYALA","31.03.1987","DF","Tigres (MEX)",188,43,1
371,"C. SALCEDO","29.09.1993","DF","Eintracht Frankfurt (GER)",189,21,0
372,"R. MÁRQUEZ","13.02.1979","DF","Atlas (MEX)",184,145,15
373,"J. DOS SANTOS","26.04.1990","MF","LA Galaxy (USA)",173,37,0
374,"M. LAYÚN","25.06.1988","MF","Sevilla FC (ESP)",180,64,6
375,"M. FABIÁN","21.07.1989","FW","Eintracht Frankfurt (GER)",171,39,9
376,"RAÚL","05.05.1991","FW","Benfica (POR)",188,63,14
377,"G. DOS SANTOS","11.05.1989","MF","LA Galaxy (USA)",178,105,19
378,"CARLOS V","01.03.1989","FW","Los Angeles Football Club (USA)",178,26,10
379,"A. TALAVERA","18.09.1982","GK","Toluca (MEX)",188,28,0
380,"G. OCHOA","13.07.1985","GK","Standard Liège (BEL)",185,94,0
381,"J. HERNÁNDEZ","01.06.1988","FW","West Ham United (ENG)",175,102,49
382,"H. MORENO","17.01.1988","DF","Real Sociedad (ESP)",182,92,3
383,"H. HERRERA","19.04.1990","DF","FC Porto (POR)",180,66,5
384,"JESÚS C.","06.01.1993","MF","FC Porto (POR)",174,36,7
385,"A. GUARDADO","28.09.1986","MF","Real Betis (ESP)",167,147,25
386,"O. PERALTA","12.01.1984","FW","America (MEX)",178,66,26
387,"J. AQUINO","11.02.1990","MF","Tigres (MEX)",166,53,0
388,"E. ÁLVAREZ","24.10.1997","DF","America (MEX)",186,13,1
389,"H. LOZANO","30.07.1995","FW","PSV (NED)",176,28,7
390,"J. GALLARDO","15.08.1994","MF","Pumas UNAM (MEX)",177,23,0
391,"BOUNOU","05.04.1991","GK","Girona Futbol Club (ESP)",190,34,0
392,"HAKIMI","04.11.1998","DF","Real Madrid (ESP)",179,12,1
393,"MENDYL","21.10.1997","DF","Lille OSC (FRA)",179,16,0
394,"DA COSTA","06.05.1986","DF","Istanbul Başakşehir (TUR)",187,27,2
395,"BENATIA","17.04.1987","DF","Juventus (ITA)",188,60,4
396,"SAISS","26.03.1990","DF","Wolverhampton (ENG)",190,26,2
397,"ZIYACH","19.03.1993","MF","Ajax (NED)",180,18,10
398,"EL AHMADI","27.01.1985","MF","Feyenoord (NED)",179,52,1
399,"EL KAABI","25.06.1993","FW","RS Berkane (MAR)",182,3,2
400,"BELHANDA","25.02.1990","MF","Galatasaray (TUR)",174,50,5
401,"FAJR","01.08.1988","MF","Getafe CF (ESP)",178,24,2
402,"EL KAJOUI","10.05.1989","GK","Numancia (ESP)",190,33,0
403,"BOUTAIB","24.04.1987","FW","Malatyaspor (TUR)",190,20,9
404,"BOUSSOUFA","15.08.1984","MF","Al Jazeira (UAE)",167,61,7
405,"AIT BENNASSER","07.07.1996","MF","Caen (FRA)",184,14,0
406,"N. AMRABAT","31.03.1987","MF","Leganes (ESP)",178,45,4
407,"DIRAR","25.02.1986","DF","Fenerbahçe (TUR)",187,38,5
408,"HARIT","18.06.1997","MF","Schalke 04 (GER)",179,7,0
409,"EN-NESYRI","01.06.1997","FW","Malaga (ESP)",188,16,2
410,"BOUHADDOUZ","30.03.1987","FW","St. Pauli (GER)",188,15,3
411,"S. AMRABAT","21.08.1996","MF","Feyenoord (NED)",183,6,0
412,"TAGNAOUTI","05.04.1996","GK","IRT Tanger (MAR)",186,5,0
413,"CARCELA","01.07.1989","MF","Standard Liège (BEL)",176,21,1
414,"EZENWA","16.10.1988","GK","Enyimba (NGA)",181,24,0
415,"IDOWU","18.05.1992","DF","FK Amkar Perm (RUS)",179,5,0
416,"ECHIEJILE","20.01.1988","DF","Cercle Brugge (BEL)",185,59,2
417,"NDIDI","16.12.1996","MF","Leicester (ENG)",184,17,0
418,"EKONG","01.09.1993","DF","Bursaspor (TUR)",191,21,1
419,"BALOGUN","28.06.1988","DF","Mainz 05 (GER)",190,19,0
420,"MUSA","14.10.1992","FW","CSKA Moskva (RUS)",173,70,13
421,"ETEBO","09.11.1995","MF","Las Palmas (ESP)",174,12,1
422,"IGHALO","16.06.1989","FW","Changchun Yatai (CHN)",188,19,4
423,"MIKEL","22.04.1987","MF","Tianjin Teda (CHN)",188,82,6
424,"MOSES","12.12.1990","FW","Chelsea (ENG)",177,31,11
425,"SHEHU","12.03.1993","DF","Bursaspor (TUR)",182,15,0
426,"NWANKWO","07.05.1992","FW","Crotone FC (ITA)",197,2,0
427,"IHEANACHO","10.03.1996","FW","Leicester (ENG)",183,17,8
428,"OBI","22.05.1991","MF","Torino (ITA)",177,17,0
429,"AKPEYI","08.03.1986","GK","Chippa United FC (RSA)",187,6,0
430,"ONAZI","25.12.1992","MF","Trabzonspor (TUR)",172,50,1
431,"IWOBI","03.05.1996","FW","Arsenal (ENG)",185,18,5
432,"OGU","20.04.1988","MF","Hapoel Beer Sheva (ISR)",191,19,2
433,"AWAZIEM","01.01.1997","DF","Nantes (FRA)",192,3,0
434,"EBUEHI","16.12.1995","DF","ADO Den Haag (NED)",187,7,0
435,"OMERUO","17.10.1993","DF","Kasimpasa SK (TUR)",185,38,0
436,"UZOHO","28.10.1998","GK","Deportivo La Coruña (ESP)",196,6,0
437,"PENEDO","26.09.1981","GK","Dinamo Bucuresti (ROU)",183,131,0
438,"MURILLO","11.02.1996","DF","New York (USA)",183,22,2
439,"CUMMINGS","01.03.1992","DF","San Jose Earthquakes (USA)",183,47,0
440,"ESCOBAR","09.01.1995","DF","New York (USA)",182,23,1
441,"R. TORRES","20.03.1986","DF","Seattle Sounders Football Club(USA)",188,108,10
442,"GOMEZ","29.05.1984","MF","Bucaramanga (COL)",183,142,11
443,"PEREZ","13.03.1981","FW","Municipal (GUA)",187,117,43
444,"BARCENAS","23.10.1993","MF","Cafetaleros de Tapachula (MEX)",175,29,0
445,"G. TORRES","31.10.1988","FW","Huachipato (CHI)",180,72,14
446,"DIAZ","12.05.1997","FW","Deportivo La Coruña (ESP)",181,8,2
447,"COOPER","26.11.1987","MF","Universidad de Chile (CHI)",173,97,7
448,"CALDERON","14.08.1985","GK","Chorrillo (PAN)",187,32,0
449,"MACHADO","14.02.1985","DF","Houston Dynamo (USA)",182,76,1
450,"PIMENTEL","30.05.1991","MF","Plaza Amador (PAN)",189,23,1
451,"DAVIS","31.03.1991","DF","DAC Dunajska Streda (SVK)",180,38,0
452,"ARROYO","13.12.1993","FW","Alajuelense (CRC)",183,33,5
453,"OVALLE","07.09.1988","DF","Olimpia (HON)",178,25,0
454,"TEJADA","28.03.1982","FW","Sport Boys Association (PER)",183,104,43
455,"AVILA","04.02.1997","MF","AA Gent (BEL)",182,5,0
456,"GODOY","10.02.1990","MF","San Jose Earthquakes (USA)",183,88,1
457,"J. RODRIGUEZ","19.06.1998","MF","AA Gent (BEL)",180,2,0
458,"RODRIGUEZ","05.08.1990","GK","San Francisco (PAN)",197,6,0
459,"BALOY","24.02.1981","DF","Municipal (GUA)",185,100,3
460,"GALLESE","23.02.1990","GK","Veracruz (MEX)",189,39,0
461,"RODRIGUEZ","31.03.1984","DF","Junior (COL)",179,73,0
462,"CORZO","20.05.1989","DF","Universitario (PER)",172,24,0
463,"SANTAMARIA","10.01.1992","DF","Puebla FC (MEX)",183,6,0
464,"ARAUJO","24.10.1994","DF","Alianza Lima (PER)",178,8,0
465,"TRAUCO","25.08.1992","DF","Flamengo (BRA)",169,26,0
466,"HURTADO","27.07.1990","MF","Guimaraes (POR)",174,33,3
467,"CUEVA","23.11.1991","MF","São Paulo (BRA)",169,45,8
468,"GUERRERO","01.01.1984","FW","Flamengo (BRA)",185,89,35
469,"FARFAN","26.10.1984","FW","Lokomotiv Moskva (RUS)",177,84,25
470,"RUIDIAZ","25.07.1990","FW","Monarcas Morelia (MEX)",169,30,4
471,"CACEDA","27.09.1991","GK","Deportivo Municipal (PER)",184,6,0
472,"TAPIA","28.07.1995","MF","Feyenoord (NED)",185,31,3
473,"POLO","29.09.1994","MF","Portland Timbers (USA)",174,17,1
474,"RAMOS","04.11.1988","DF","Veracruz (MEX)",182,70,3
475,"CARTAGENA","23.09.1994","MF","Veracruz (MEX)",179,3,0
476,"ADVINCULA","02.03.1990","DF","Universidad Autónoma de Puebla(MEX)",178,65,0
477,"CARRILLO","14.06.1991","FW","Watford (ENG)",182,46,5
478,"YOTUN","07.04.1990","MF","Orlando City SC (USA)",172,73,2
479,"FLORES","14.05.1994","FW","AaB (DEN)",170,29,9
480,"CARVALLO","01.03.1986","GK","Universidad Técnica (PER)",182,6,0
481,"LOYOLA","26.10.1994","DF","Foot Ball Club Melgar (PER)",179,3,0
482,"AQUINO","13.04.1995","MF","Universidad Autónoma de Puebla(MEX)",174,13,0
483,"SZCZESNY","18.04.1990","GK","Juventus (ITA)",195,35,0
484,"PAZDAN","21.09.1987","DF","Legia Warszawa (POL)",181,33,0
485,"JEDRZEJCZYK","04.11.1987","DF","Legia Warszawa (POL)",189,36,3
486,"CIONEK","21.04.1986","DF","Spal Ferrara (ITA)",184,19,0
487,"BEDNAREK","12.04.1996","DF","Southampton (ENG)",189,3,0
488,"MACZYNSKI","23.05.1987","MF","Legia Warszawa (POL)",175,0,0
489,"GORALSKI","21.09.1992","MF","PFC Ludogorets Razgrad (BUL)",172,5,0
490,"MILIK","28.02.1994","FW","SSC Napoli (ITA)",186,40,12
491,"LINETTY","02.02.1995","MF","Sampdoria (ITA)",176,20,1
492,"LEWANDOWSKI","21.08.1988","FW","Bayern München (GER)",185,95,55
493,"KRYCHOWIAK","29.01.1990","MF","West Bromwich Albion FC (ENG)",186,51,2
494,"GROSICKI","08.06.1988","MF","Hull City (ENG)",180,57,12
495,"BIALKOWSKI","06.07.1987","GK","Ipswich Town (ENG)",194,1,0
496,"RYBUS","19.08.1989","MF","Lokomotiv Moskva (RUS)",173,51,2
497,"TEODORCZYK","03.06.1991","FW","Anderlecht (BEL)",185,17,4
498,"GLIK","03.02.1988","DF","AS Monaco (FRA)",190,58,4
499,"BLASZCZYKOWSKI","14.12.1985","MF","VfL Wolfsburg (GER)",175,99,20
500,"PESZKO","19.02.1985","MF","Lechia Gdansk (POL)",173,43,2
501,"BERESZYNSKI","12.07.1992","DF","Sampdoria (ITA)",182,8,0
502,"ZIELINSKI","20.05.1994","MF","SSC Napoli (ITA)",177,33,5
503,"PISZCZEK","03.06.1985","DF","Borussia Dortmund (GER)",184,63,3
504,"KURZAWA","29.01.1993","MF","Górnik Zabrze (POL)",182,3,0
505,"FABIANSKI","18.04.1985","GK","Swansea City (WAL)",190,45,0
506,"KOWNACKI","14.03.1997","FW","Sampdoria (ITA)",185,2,1
507,"RUI PATRICIO","15.02.1988","GK","Sporting CP (POR)",189,69,0
508,"B. ALVES","27.11.1981","DF","Rangers (SCO)",187,96,11
509,"PEPE","26.02.1983","DF","Besiktas (TUR)",188,95,5
510,"M. FERNANDES","05.02.1986","MF","Lokomotiv Moskva (RUS)",174,14,3
511,"RAPHAEL","22.12.1993","DF","Borussia Dortmund (GER)",170,24,2
512,"FONTE","22.12.1983","DF","Dalian Yifang Football Club (CHN)",191,31,0
513,"RONALDO","05.02.1985","FW","Real Madrid (ESP)",185,150,81
514,"J. MOUTINHO","08.09.1986","MF","AS Monaco (FRA)",170,110,7
515,"ANDRÉ SILVA","06.11.1995","FW","AC Milan (ITA)",184,22,12
516,"J. MÁRIO","19.01.1993","MF","West Ham United (ENG)",179,36,2
517,"BERNARDO","10.08.1994","MF","Manchester City (ENG)",173,25,2
518,"LOPES","01.10.1990","GK","Olympique Lyon (FRA)",184,7,0
519,"RUBEN DIAS","14.05.1997","DF","Benfica (POR)",187,1,0
520,"WILLIAM","07.04.1992","MF","Sporting CP (POR)",190,43,2
521,"RICARDO","06.10.1993","DF","FC Porto (POR)",174,4,0
522,"B. FERNANDES","08.09.1994","MF","Sporting CP (POR)",183,6,1
523,"G. GUEDES","29.11.1996","FW","Valencia CF (ESP)",179,10,3
524,"GELSON","11.05.1995","FW","Sporting CP (POR)",173,18,0
525,"MÁRIO RUI","27.05.1991","DF","SSC Napoli (ITA)",168,4,0
526,"QUARESMA","26.09.1983","FW","Besiktas (TUR)",175,77,9
527,"CÉDRIC","31.08.1991","DF","Southampton (ENG)",172,29,1
528,"BETO","01.05.1982","GK","Goztepespor (TUR)",183,14,0
529,"ADRIEN","15.03.1989","MF","Leicester (ENG)",176,24,1
530,"AKINFEEV","08.04.1986","GK","CSKA Moskva (RUS)",185,107,0
531,"FERNANDES","19.09.1990","DF","CSKA Moskva (RUS)",187,6,0
532,"KUTEPOV","29.07.1993","DF","Spartak Moskva (RUS)",190,8,0
533,"IGNASHEVICH","14.07.1979","DF","CSKA Moskva (RUS)",186,123,9
534,"SEMENOV","24.03.1989","DF","FC Akhmat Grozny (RUS)",191,6,0
535,"CHERYSHEV","26.12.1990","MF","Villarreal CF (ESP)",173,12,2
536,"KUZIAEV","15.01.1993","MF","Zenit St. Petersburg (RUS)",182,7,0
537,"GAZINSKII","20.07.1989","MF","Krasnodar (RUS)",180,7,1
538,"DZAGOEV","17.06.1990","MF","CSKA Moskva (RUS)",178,58,9
539,"SMOLOV","09.02.1990","FW","Krasnodar (RUS)",185,33,12
540,"ZOBNIN","11.02.1994","MF","Spartak Moskva (RUS)",185,13,0
541,"LUNEV","13.11.1991","GK","Zenit St. Petersburg (RUS)",189,3,0
542,"KUDRIASHOV","05.04.1987","DF","Rubin Kazan (RUS)",187,19,0
543,"GRANAT","22.05.1987","DF","Rubin Kazan (RUS)",184,12,1
544,"AL MIRANCHUK","17.10.1995","MF","Lokomotiv Moskva (RUS)",185,18,4
545,"AN MIRANCHUK","17.10.1995","MF","Lokomotiv Moskva (RUS)",182,6,0
546,"GOLOVIN","30.05.1996","MF","CSKA Moskva (RUS)",178,20,3
547,"ZHIRKOV","20.08.1983","MF","Zenit St. Petersburg (RUS)",180,85,2
548,"SAMEDOV","19.07.1984","MF","Spartak Moskva (RUS)",178,49,7
549,"GABULOV","19.10.1983","GK","Club Brugge (BEL)",190,10,0
550,"EROKHIN","13.10.1989","MF","Zenit St. Petersburg (RUS)",191,17,0
551,"DZYUBA","22.08.1988","FW","Arsenal Tula (RUS)",196,24,12
552,"SMOLNIKOV","08.08.1988","DF","Zenit St. Petersburg (RUS)",179,27,0
553,"ABDULLAH","23.01.1987","GK","Al Hilal (KSA)",178,9,0
554,"MANSOUR","19.10.1987","DF","Al Ahli (KSA)",173,39,1
555,"OSAMA","31.03.1984","DF","Al Hilal (KSA)",188,136,7
556,"ALI","21.11.1989","DF","Al Hilal (KSA)",182,4,0
557,"OMAR","27.09.1985","DF","Al Nasr (KSA)",185,41,3
558,"ALBURAYK","15.09.1992","DF","Al Hilal (KSA)",173,10,0
559,"SALMAN","01.08.1989","MF","Al Hilal (KSA)",179,40,2
560,"YAHIA","26.06.1990","MF","Leganes (ESP)",165,57,7
561,"HATAN","16.07.1992","MF","Al Shabab (KSA)",170,6,0
562,"ALSAHLAWI","10.01.1987","FW","Al Nasr (KSA)",179,41,28
563,"ABDULMALEK","13.03.1986","MF","Al Hilal (KSA)",177,33,0
564,"KANNO","22.09.1994","MF","Al Hilal (KSA)",192,6,1
565,"YASSER","25.05.1992","DF","Al Hilal (KSA)",170,36,0
566,"OTAYF","03.08.1992","MF","Al Hilal (KSA)",177,14,1
567,"ALKHAIBARI","16.08.1996","MF","Al Shabab (KSA)",175,5,0
568,"HUSSAIN","24.03.1988","MF","Al Ahli (KSA)",174,16,1
569,"TAISEER","25.07.1984","MF","Al Ahli (KSA)",169,133,19
570,"SALEM","19.08.1991","MF","Villarreal CF (ESP)",174,32,4
571,"FAHAD","14.09.1994","FW","Levante UD (ESP)",168,46,10
572,"MUHANNAD","14.10.1986","FW","Al Ahli (KSA)",185,18,4
573,"ALMOSAILEM","27.02.1984","GK","Al Ahli (KSA)",186,32,0
574,"ALOWAIS","10.10.1991","GK","Al Ahli (KSA)",187,6,0
575,"MOTAZ","17.02.1992","DF","Al Ahli (KSA)",180,16,0
576,"DIALLO","30.03.1992","GK","Rennes (FRA)",189,16,0
577,"CISS","15.06.1989","DF","Valenciennes (FRA)",173,18,0
578,"KOULIBALY","20.06.1991","DF","SSC Napoli (ITA)",195,26,1
579,"KARA","22.11.1989","DF","Anderlecht (BEL)",192,43,5
580,"GANA","26.09.1989","MF","Everton (ENG)",174,55,1
581,"S. SANE","25.08.1990","MF","Hannover 96 (GER)",196,18,0
582,"SOW","19.01.1986","FW","Bursaspor (TUR)",180,46,19
583,"C. KOUYATE","21.12.1989","MF","West Ham United (ENG)",189,48,3
584,"M. DIOUF","16.12.1987","FW","Stoke (ENG)",185,44,10
585,"MANE","10.04.1992","FW","Liverpool (ENG)",175,52,14
586,"CH. NDOYE","29.03.1986","MF","Birmingham City (ENG)",192,27,3
587,"SABALY","05.03.1993","DF","Girondins Bordeaux (FRA)",174,6,0
588,"A. NDIAYE","06.03.1990","MF","Wolverhampton (ENG)",186,16,1
589,"KONATE","03.04.1993","FW","Amiens (FRA)",180,26,9
590,"SAKHO","24.12.1989","FW","Rennes (FRA)",184,11,3
591,"KH. NDIAYE","05.04.1985","GK","Horoya Athlétique Club (GUI)",185,42,0
592,"P.A. NDIAYE","27.10.1990","MF","Stoke (ENG)",181,16,1
593,"ISMAÏLA","25.02.1998","FW","Rennes (FRA)",175,13,3
594,"NIANG","19.12.1994","FW","Torino (ITA)",184,8,0
595,"KEÏTA BALDE","08.03.1995","FW","AS Monaco (FRA)",181,18,3
596,"GASSAMA","20.10.1989","DF","Adanaspor (TUR)",181,39,0
597,"M. WAGUE","04.10.1998","DF","Eupen (BEL)",177,7,0
598,"GOMIS","05.09.1993","GK","Spal Ferrara (ITA)",196,5,0
599,"STOJKOVIĆ","28.07.1983","GK","Partizan Beograd (SRB)",195,81,0
600,"RUKAVINA","26.01.1984","DF","Villarreal CF (ESP)",177,47,0
601,"TOŠIĆ","19.01.1985","DF","Besiktas (TUR)",185,24,1
602,"MILIVOJEVIĆ","07.04.1991","MF","Crystal Palace (ENG)",186,28,1
603,"SPAJIĆ","13.02.1993","DF","Anderlecht (BEL)",188,5,0
604,"IVANOVIĆ","22.02.1984","DF","Zenit St. Petersburg (RUS)",185,103,13
605,"ŽIVKOVIĆ","11.07.1996","MF","Benfica (POR)",169,10,0
606,"PRIJOVIĆ","21.04.1990","FW","PAOK (GRE)",191,9,1
607,"MITROVIĆ","16.09.1994","FW","Fulham (ENG)",189,38,16
608,"TADIĆ","20.11.1988","MF","Southampton (ENG)",181,53,12
609,"KOLAROV","10.11.1985","DF","AS Roma (ITA)",187,76,10
610,"RAJKOVIĆ","31.10.1995","GK","Maccabi Tel Aviv (ISR)",191,8,0
611,"VELJKOVIĆ","26.09.1995","DF","Werder Bremen (GER)",188,2,0
612,"RODIĆ","02.04.1991","DF","Crvena Zvezda (SRB)",185,1,0
613,"MILENKOVIĆ","12.10.1997","DF","Fiorentina (ITA)",195,3,0
614,"GRUJIĆ","13.04.1996","MF","Cardiff City (WAL)",190,7,0
615,"KOSTIĆ","01.11.1992","MF","Hamburger SV (GER)",184,23,2
616,"RADONJIĆ","15.02.1996","FW","Crvena Zvezda (SRB)",185,3,0
617,"JOVIĆ","23.12.1997","FW","Eintracht Frankfurt (GER)",181,1,0
618,"SERGEJ","27.02.1995","MF","Lazio (ITA)",192,4,0
619,"MATIĆ","01.08.1988","MF","Manchester United (ENG)",194,40,2
620,"LJAJIĆ","29.09.1991","MF","Torino (ITA)",182,30,6
621,"DMITROVIĆ","24.01.1992","GK","Eibar (ESP)",194,2,0
622,"DE GEA","07.11.1990","GK","Manchester United (ENG)",190,29,0
623,"CARVAJAL","11.01.1992","DF","Real Madrid (ESP)",173,15,0
624,"PIQUÉ","02.02.1987","DF","FC Barcelona (ESP)",194,98,5
625,"NACHO","18.01.1990","DF","Real Madrid (ESP)",179,17,0
626,"SERGIO","16.07.1988","MF","FC Barcelona (ESP)",189,103,2
627,"A. INIESTA","11.05.1984","MF","FC Barcelona (ESP)",171,127,13
628,"SAÚL","21.11.1994","MF","Atlético Madrid (ESP)",183,10,0
629,"KOKE","08.01.1992","MF","Atlético Madrid (ESP)",176,40,0
630,"RODRIGO M.","06.03.1991","FW","Valencia CF (ESP)",182,6,2
631,"THIAGO","11.04.1991","MF","Bayern München (GER)",174,29,2
632,"LUCAS V.","01.07.1991","FW","Real Madrid (ESP)",173,7,0
633,"ODRIOZOLA","14.12.1995","DF","Real Sociedad (ESP)",178,4,1
634,"ARRIZABALAGA","03.10.1994","GK","Athletic Club (ESP)",189,1,0
635,"AZPILICUETA","28.08.1989","DF","Chelsea (ENG)",178,22,0
636,"RAMOS","30.03.1986","DF","Real Madrid (ESP)",183,152,13
637,"MONREAL","26.02.1986","DF","Arsenal (ENG)",179,22,1
638,"IAGO ASPAS","01.08.1987","FW","Celta (ESP)",176,10,5
639,"JORDI ALBA","21.03.1989","DF","FC Barcelona (ESP)",170,62,8
640,"DIEGO COSTA","07.10.1988","FW","Atlético Madrid (ESP)",185,20,7
641,"ASENSIO","21.01.1996","MF","Real Madrid (ESP)",182,12,0
642,"SILVA","08.01.1986","FW","Manchester City (ENG)",170,121,35
643,"ISCO","21.04.1992","MF","Real Madrid (ESP)",176,28,10
644,"REINA","31.08.1982","GK","SSC Napoli (ITA)",188,36,0
645,"OLSEN","08.01.1990","GK","FC København (DEN)",198,18,0
646,"LUSTIG","13.12.1986","DF","Celtic (SCO)",189,66,6
647,"LINDELÖF","17.07.1994","DF","Manchester United (ENG)",187,21,1
648,"GRANQVIST","16.04.1985","DF","Krasnodar (RUS)",192,72,6
649,"OLSSON","17.05.1988","DF","Swansea City (WAL)",177,43,5
650,"AUGUSTINSSON","21.04.1994","DF","Werder Bremen (GER)",181,15,0
651,"LARSSON","06.06.1985","MF","Hull City (ENG)",178,100,6
652,"EKDAL","28.07.1989","MF","Hamburger SV (GER)",186,34,0
653,"BERG","17.08.1986","FW","Al Ain (UAE)",183,57,18
654,"FORSBERG","23.10.1991","MF","RasenBallsport Leipzig (GER)",179,36,6
655,"GUIDETTI","15.04.1992","FW","Alavés (ESP)",185,20,1
656,"JOHNSSON","28.01.1990","GK","Guingamp (FRA)",187,5,0
657,"SVENSSON","07.02.1987","MF","Seattle Sounders Football Club(USA)",183,13,0
658,"HELANDER","22.04.1993","DF","Bologna (ITA)",192,4,0
659,"HILJEMARK","28.06.1992","MF","Genoa (ITA)",184,22,2
660,"KRAFTH","02.08.1994","DF","Bologna (ITA)",181,13,0
661,"CLAESSON","02.01.1992","MF","Krasnodar (RUS)",183,22,3
662,"JANSSON","13.02.1991","DF","Leeds (ENG)",194,15,0
663,"ROHDÉN","11.05.1991","MF","Crotone FC (ITA)",182,12,1
664,"TOIVONEN","03.07.1986","FW","Toulouse FC (FRA)",192,59,13
665,"DURMAZ","22.03.1989","MF","Toulouse FC (FRA)",180,45,3
666,"KIESE THELIN","24.06.1992","FW","Beveren (BEL)",189,20,2
667,"NORDFELDT","23.06.1989","GK","Swansea City (WAL)",190,8,0
668,"SOMMER","17.12.1988","GK","Borussia Moenchengladbach (GER)",183,35,0
669,"LICHTSTEINER","16.01.1984","DF","Juventus (ITA)",181,100,8
670,"MOUBANDJE","21.06.1990","DF","Toulouse FC (FRA)",180,18,0
671,"ELVEDI","30.09.1996","DF","Borussia Moenchengladbach (GER)",187,6,0
672,"AKANJI","19.07.1995","DF","Borussia Dortmund (GER)",186,7,0
673,"LANG","08.02.1991","DF","FC Basel (SUI)",185,24,2
674,"EMBOLO","14.02.1997","FW","Schalke 04 (GER)",184,25,3
675,"FREULER","15.04.1992","MF","Atalanta Bergamo (ITA)",181,10,0
676,"SEFEROVIC","22.02.1992","FW","Benfica (POR)",186,51,12
677,"XHAKA","27.09.1992","MF","Arsenal (ENG)",183,62,9
678,"BEHRAMI","19.04.1985","MF","Udinese (ITA)",184,79,2
679,"MVOGO","06.06.1994","GK","RasenBallsport Leipzig (GER)",186,0,0
680,"RODRIGUEZ","25.08.1992","DF","AC Milan (ITA)",180,53,5
681,"ZUBER","17.08.1991","MF","1899 Hoffenheim (GER)",182,12,3
682,"DZEMAILI","12.04.1986","MF","Bologna (ITA)",180,65,10
683,"G. FERNANDES","02.09.1986","MF","Eintracht Frankfurt (GER)",180,67,2
684,"ZAKARIA","20.11.1996","MF","Borussia Moenchengladbach (GER)",189,10,0
685,"GAVRANOVIC","24.11.1989","FW","Dinamo Zagreb (CRO)",175,14,5
686,"DRMIC","08.08.1992","FW","Borussia Moenchengladbach (GER)",184,29,9
687,"DJOUROU","18.01.1987","DF","Antalyaspor (TUR)",192,74,2
688,"BÜRKI","14.11.1990","GK","Borussia Dortmund (GER)",188,9,0
689,"SCHÄR","20.12.1991","DF","Deportivo La Coruña (ESP)",186,39,7
690,"SHAQIRI","10.10.1991","MF","Stoke (ENG)",169,70,20
691,"BEN MUSTAPHA","01.07.1989","GK","Al Shabab (KSA)",192,14,0
692,"BEN YOUSSEF .S","31.03.1989","DF","Kasimpasa SK (TUR)",189,42,1
693,"BEN ALOUANE","28.03.1987","DF","Leicester (ENG)",185,3,0
694,"MERIAH","02.07.1993","DF","CS Sfaxien (TUN)",183,16,1
695,"HADDADI","28.01.1992","DF","Dijon (FRA)",185,7,1
696,"BEDOUI","19.01.1990","DF","ES du Sahel (TUN)",187,10,3
697,"KHAOUI","27.04.1995","FW","Troyes (FRA)",180,4,0
698,"BEN YOUSSEF .F","23.06.1991","FW","Al Ittifaq (KSA)",189,38,0
699,"BADRI","18.09.1990","MF","Esperance (TUN)",178,9,2
700,"KHAZRI","08.02.1991","FW","Rennes (FRA)",182,36,12
701,"BRONN","19.06.1995","DF","AA Gent (BEL)",186,5,0
702,"MAALOUL","01.01.1990","DF","Al Ahly Cairo (EGY)",170,46,8
703,"SASSI","18.03.1992","MF","Al Nasr (KSA)",186,40,3
704,"BEN AMOR","03.05.1992","MF","Al Ahli (KSA)",180,26,2
705,"KHALIL","21.12.1994","FW","Club Africain (TUN)",187,2,0
706,"MATHLOUTHI","14.09.1984","GK","Al Batin Football Club (KSA)",182,71,0
707,"SKHIRI","10.05.1995","MF","Montpellier (FRA)",185,4,0
708,"SRARFI","25.06.1997","FW","OGC Nice (FRA)",176,4,0
709,"KHALIFA","14.10.1986","FW","Club Africain (TUN)",185,43,7
710,"CHAALELI","28.02.1994","FW","Esperance (TUN)",179,6,1
711,"NAGUEZ","28.10.1992","DF","Zamalek (EGY)",186,16,5
